file_name,file_path,source_phase,row_count,column_count,checksum,frozen_checksum,checksum_match,authoritative_status,management_brief_use_status,superseded_flag,governance_note
step_2d6_streamlit_audit_data_contract.csv,C:\Users\DELL\OneDrive\Desktop\Sentinel360_Dynamic\outputs\decision_intelligence\step_2d6_streamlit_audit_data_contract.csv,2D-6,54910,47,0a122cf126c788783989e308657e83500719664aa729e1c1ef3e9f99da1f420b,,True,Authoritative,Ready,False,Validated for 2D-7 use
step_2d6_evidence_issue_register.csv,C:\Users\DELL\OneDrive\Desktop\Sentinel360_Dynamic\outputs\decision_intelligence\step_2d6_evidence_issue_register.csv,2D-6,1,5,d2ac53f4cd4d1e47d4dc3eed984bd632526b3a822dfb481b9d809ed81d0b8175,,True,Authoritative,Ready,False,Validated for 2D-7 use
step_2d6_lineage_issue_register.csv,C:\Users\DELL\OneDrive\Desktop\Sentinel360_Dynamic\outputs\decision_intelligence\step_2d6_lineage_issue_register.csv,2D-6,1,5,53430b19927e97aa16c97389ebaea6374eb057a885021400e9d1990d3043ae78,,True,Authoritative,Ready,False,Validated for 2D-7 use
step_2d6_audit_governance_register.csv,C:\Users\DELL\OneDrive\Desktop\Sentinel360_Dynamic\outputs\decision_intelligence\step_2d6_audit_governance_register.csv,2D-6,1,4,ebcefaf70006c0d15ad0577424e920c801ec94275088d6690f10e07bc271ea81,,True,Authoritative,Ready,False,Validated for 2D-7 use
step_2d6_audit_issue_register.csv,C:\Users\DELL\OneDrive\Desktop\Sentinel360_Dynamic\outputs\decision_intelligence\step_2d6_audit_issue_register.csv,2D-6,0,5,0532a660a749a4507a1c6074591cd77466295c252cc94a4d0d383e5deae0b95e,,True,Authoritative,Ready,False,Validated for 2D-7 use
step_2d6_execution_summary.csv,C:\Users\DELL\OneDrive\Desktop\Sentinel360_Dynamic\outputs\decision_intelligence\step_2d6_execution_summary.csv,2D-6,1,79,b0796d6d8674fe791419c24fa30af4488595f93475a8b0c8acf2b95ccc7980b3,,True,Authoritative,Ready,False,Validated for 2D-7 use
step_2d6_manifest.json,C:\Users\DELL\OneDrive\Desktop\Sentinel360_Dynamic\outputs\decision_intelligence\step_2d6_manifest.json,2D-6,186,1,2c8731f3968077745f99de827a5264b6f0b9962a055658bc2982af44da2d1489,,True,Authoritative,Ready,False,Validated for 2D-7 use
step_2d5_decision_action_routing_register.csv,C:\Users\DELL\OneDrive\Desktop\Sentinel360_Dynamic\outputs\decision_intelligence\step_2d5_decision_action_routing_register.csv,2D-5,646,20,dc002c6f0647d41aff8db77bec69ac01ed20ce948e6c1f87cfa744221cacf784,dc002c6f0647d41aff8db77bec69ac01ed20ce948e6c1f87cfa744221cacf784,True,Authoritative,Ready,False,Validated for 2D-7 use
step_2d5_primary_action_register.csv,C:\Users\DELL\OneDrive\Desktop\Sentinel360_Dynamic\outputs\decision_intelligence\step_2d5_primary_action_register.csv,2D-5,646,8,4c57edc932521b100c0113f6909ff8db4c1930f54c4a2234fe95a4898f8bfd14,4c57edc932521b100c0113f6909ff8db4c1930f54c4a2234fe95a4898f8bfd14,True,Authoritative,Ready,False,Validated for 2D-7 use
step_2d5_secondary_action_register.csv,C:\Users\DELL\OneDrive\Desktop\Sentinel360_Dynamic\outputs\decision_intelligence\step_2d5_secondary_action_register.csv,2D-5,1938,6,35e41a915821ffbe9f45f6a2f4184a160121cd6b0e2db921d15e34b435595dc1,35e41a915821ffbe9f45f6a2f4184a160121cd6b0e2db921d15e34b435595dc1,True,Authoritative,Ready,False,Validated for 2D-7 use
step_2d5_responsible_role_register.csv,C:\Users\DELL\OneDrive\Desktop\Sentinel360_Dynamic\outputs\decision_intelligence\step_2d5_responsible_role_register.csv,2D-5,646,9,c39e227d89e070d5fb4a8961ed9ffb52d31b26a3d355f51a0528759a6683590a,c39e227d89e070d5fb4a8961ed9ffb52d31b26a3d355f51a0528759a6683590a,True,Authoritative,Ready,False,Validated for 2D-7 use
step_2d5_escalation_routing_register.csv,C:\Users\DELL\OneDrive\Desktop\Sentinel360_Dynamic\outputs\decision_intelligence\step_2d5_escalation_routing_register.csv,2D-5,646,13,7f519f3d332db7d6d5676556cae6335a3286f6e0fa1d6fc106e2e34daa8a7824,7f519f3d332db7d6d5676556cae6335a3286f6e0fa1d6fc106e2e34daa8a7824,True,Authoritative,Ready,False,Validated for 2D-7 use
step_2d5_monitoring_action_register.csv,C:\Users\DELL\OneDrive\Desktop\Sentinel360_Dynamic\outputs\decision_intelligence\step_2d5_monitoring_action_register.csv,2D-5,646,13,d45ad60e59dd6a0053e15eb9b5760a5dede696a00a6af3750ec90a976df69750,d45ad60e59dd6a0053e15eb9b5760a5dede696a00a6af3750ec90a976df69750,True,Authoritative,Ready,False,Validated for 2D-7 use
step_2d5_queue_assignment_register.csv,C:\Users\DELL\OneDrive\Desktop\Sentinel360_Dynamic\outputs\decision_intelligence\step_2d5_queue_assignment_register.csv,2D-5,646,13,48cc9e697ee1c7046b43c8c1f9375dbf01b7f7dd2bb8752615ab7f2f91447267,48cc9e697ee1c7046b43c8c1f9375dbf01b7f7dd2bb8752615ab7f2f91447267,True,Authoritative,Ready,False,Validated for 2D-7 use
step_2d5_action_explanation_register.csv,C:\Users\DELL\OneDrive\Desktop\Sentinel360_Dynamic\outputs\decision_intelligence\step_2d5_action_explanation_register.csv,2D-5,646,11,6adad958bd004a0b7c8397c4b10bbf16c16e99e9dcad769989d7bc4109eef31f,6adad958bd004a0b7c8397c4b10bbf16c16e99e9dcad769989d7bc4109eef31f,True,Authoritative,Ready,False,Validated for 2D-7 use
step_2d5_action_eligibility_register.csv,C:\Users\DELL\OneDrive\Desktop\Sentinel360_Dynamic\outputs\decision_intelligence\step_2d5_action_eligibility_register.csv,2D-5,11628,12,76de11c7c4d45e6e33e1e029846e131a3bab72f0d3d43590e3b5486059e48261,76de11c7c4d45e6e33e1e029846e131a3bab72f0d3d43590e3b5486059e48261,True,Authoritative,Ready,False,Validated for 2D-7 use
step_2d5_action_blocking_register.csv,C:\Users\DELL\OneDrive\Desktop\Sentinel360_Dynamic\outputs\decision_intelligence\step_2d5_action_blocking_register.csv,2D-5,504,12,43609680a8b42e65c528f936acfb7ee1fd6fbda9452df440a166a54670fcf9b1,43609680a8b42e65c528f936acfb7ee1fd6fbda9452df440a166a54670fcf9b1,True,Authoritative,Ready,False,Validated for 2D-7 use
step_2d5_action_prerequisite_register.csv,C:\Users\DELL\OneDrive\Desktop\Sentinel360_Dynamic\outputs\decision_intelligence\step_2d5_action_prerequisite_register.csv,2D-5,3713,14,492152e8812d186d3ecf77f2a8b590870762b45adb0dca7f3db36f4bce7b8c98,492152e8812d186d3ecf77f2a8b590870762b45adb0dca7f3db36f4bce7b8c98,True,Authoritative,Ready,False,Validated for 2D-7 use
step_2d5_management_selection_contract.csv,C:\Users\DELL\OneDrive\Desktop\Sentinel360_Dynamic\outputs\decision_intelligence\step_2d5_management_selection_contract.csv,2D-5,646,12,35b3f229b257796bba5090cf8c405176d376dfe15488f067a73e7872d543404d,35b3f229b257796bba5090cf8c405176d376dfe15488f067a73e7872d543404d,True,Authoritative,Ready,False,Validated for 2D-7 use
step_2d4_decision_readiness_register.csv,C:\Users\DELL\OneDrive\Desktop\Sentinel360_Dynamic\outputs\decision_intelligence\step_2d4_decision_readiness_register.csv,2D-4,646,21,b6f0464bf7ffd502c3ce0a7ea450c9b9c4d0a6818de3ac23fe87a5a57f115a60,,True,Authoritative,Ready,False,Validated for 2D-7 use
step_2d4_blocking_condition_register.csv,C:\Users\DELL\OneDrive\Desktop\Sentinel360_Dynamic\outputs\decision_intelligence\step_2d4_blocking_condition_register.csv,2D-4,3611,16,a2ddf9cd4a6fa6ecbab45c4bd1d6c1d1bed1da406c5682ec5ee822f9fa36aef7,,True,Authoritative,Ready,False,Validated for 2D-7 use
step_2d3_decision_scorecard_register.csv,C:\Users\DELL\OneDrive\Desktop\Sentinel360_Dynamic\outputs\decision_intelligence\step_2d3_decision_scorecard_register.csv,2D-3,646,15,adfe4989b72d50649691787c2bd344f4d6a18a951b1784b8e218953741ef61ff,,True,Authoritative,Ready,False,Validated for 2D-7 use
step_2d2_decision_package_register.csv,C:\Users\DELL\OneDrive\Desktop\Sentinel360_Dynamic\outputs\decision_intelligence\step_2d2_decision_package_register.csv,2D-2,646,251,a8c7435139e4181e38616b1548f60074987a839d852f73790cf2b70116591fd8,,True,Authoritative,Ready,False,Validated for 2D-7 use
